0	229.000
1	228.000
2	227.000
3	227.000
4	225.000
5	225.000
6	223.000
7	222.000
8	220.000
9	219.000
10	217.000
11	217.000
12	214.000
13	214.000
14	212.000
15	211.000
16	209.000
17	208.000
18	206.000
19	206.000
20	204.000
21	202.000
22	199.000
23	197.000
24	197.000
25	195.000
26	192.000
27	190.000
28	187.000
29	186.000
30	184.000
31	182.000
32	180.000
33	178.000
34	176.000
35	175.000
36	172.000
37	170.000
38	167.000
39	165.000
40	163.000
41	161.000
42	158.000
43	156.000
44	153.000
45	150.000
46	147.000
47	145.000
48	143.000
49	141.000
50	138.000
51	135.000
52	132.000
53	130.000
54	128.000
55	125.000
56	121.000
57	118.000
58	116.000
59	114.000
60	110.000
61	108.000
62	106.000
63	103.000
64	99.000
65	96.000
66	94.000
67	92.000
68	89.000
69	86.000
70	83.000
71	80.000
72	78.000
73	75.000
74	72.000
75	69.000
76	66.000
77	65.000
78	62.000
79	60.000
80	56.000
81	54.000
82	51.000
83	50.000
84	45.000
85	44.000
86	42.000
87	39.000
88	37.000
89	34.000
90	32.000
91	31.000
92	27.000
93	26.000
94	24.000
95	22.000
96	20.000
97	18.000
98	16.000
99	15.000
100	13.000
101	12.000
102	11.000
103	9.000
104	7.000
105	7.000
106	6.000
107	6.000
108	5.000
109	4.000
110	3.000
111	2.000
112	2.000
113	2.000
114	3.000
115	3.000
116	4.000
117	5.000
118	6.000
119	6.000
120	8.000
121	8.000
122	9.000
123	10.000
124	11.000
125	13.000
126	15.000
127	17.000
128	18.000
129	20.000
130	24.000
131	27.000
132	29.000
133	32.000
134	35.000
135	38.000
136	40.000
137	44.000
138	49.000
139	52.000
140	58.000
141	61.000
142	65.000
143	69.000
144	73.000
145	78.000
146	84.000
147	88.000
148	92.000
149	96.000
150	102.000
151	108.000
152	112.000
153	118.000
154	124.000
155	128.000
156	135.000
157	139.000
158	145.000
159	151.000
160	155.000
161	161.000
162	167.000
163	171.000
164	176.000
165	180.000
166	186.000
167	191.000
168	195.000
169	200.000
170	206.000
171	210.000
172	214.000
173	217.000
174	222.000
175	226.000
176	228.000
177	231.000
178	234.000
179	237.000
180	240.000
181	241.000
182	242.000
183	244.000
184	246.000
185	246.000
186	247.000
187	247.000
