0	243.000
1	237.000
2	244.000
3	238.000
4	244.000
5	244.000
6	244.000
7	244.000
8	244.000
9	244.000
10	244.000
11	244.000
12	244.000
13	242.000
14	238.000
15	235.000
16	231.000
17	223.000
18	212.000
19	204.000
20	194.000
21	171.000
22	157.000
23	134.000
24	117.000
25	101.000
26	74.000
27	69.000
28	50.067
29	41.033
30	31.000
31	24.967
32	18.933
33	13.900
34	11.867
35	12.833
36	9.000
37	10.000
38	10.000
39	10.000
40	11.000
41	12.000
42	12.000
43	12.000
44	11.733
45	14.000
46	16.000
47	17.783
48	18.000
49	18.000
50	19.167
51	21.000
52	20.000
53	20.000
54	20.000
55	20.000
56	20.000
57	20.000
58	20.000
59	20.000
60	19.000
